Validator,PT_VERSION,2.12.0
Validator,HIP_VERSION,714
Validator,HIPBLASLT_VERSION,100401-cd957402
Validator,GCN_ARCH_NAME,gfx1030
Validator,ROCBLAS_VERSION,5.5.0.cd957402
GemmTunableOp_Half_TN,tn_1152_6400_1536_ld_1536_1536_1152,Gemm_Rocblas_-1086326045,0.714269
GemmTunableOp_Half_TN,tn_864_6400_1152_ld_1152_1152_864,Gemm_Rocblas_-1086326052,0.391264
GemmStridedBatchedTunableOp_float_TN,tn_6400_6400_72_B_4_ld_288_288_6400,Gemm_Rocblas_-1086325174,1.96059
GemmStridedBatchedTunableOp_float_NN,nn_72_6400_6400_B_4_ld_288_6400_72,Gemm_Rocblas_-1086327246,2.4516
GemmTunableOp_Half_TN,tn_1152_6400_288_ld_288_288_1152,Default,0.145193
GemmTunableOp_Half_TN,tn_1076_6400_1152_ld_1152_1152_1076,Gemm_Rocblas_-1086326045,0.531908
GemmTunableOp_Half_TN,tn_1152_6400_1076_ld_1076_1076_1152,Default,0.521461
GemmTunableOp_Half_TN,tn_1152_1600_4608_ld_4608_4608_1152,Default,0.680276
GemmTunableOp_Half_TN,tn_2560_1600_1152_ld_1152_1152_2560,Gemm_Rocblas_-1086326052,0.35034
GemmTunableOp_Half_TN,tn_336_2048_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326082,0.732119
GemmTunableOp_Half_TN,tn_10240_2048_320_ld_320_320_10240,Default,0.398076
GemmTunableOp_Half_TN,tn_4096_2048_2560_ld_2560_2560_4096,Gemm_Rocblas_-1086326063,1.47704
GemmTunableOp_Half_TN,tn_24_2048_2560_ld_2560_2560_24,Gemm_Rocblas_-1086326139,0.0564535
GemmTunableOp_Half_TN,tn_2560_2048_1536_ld_1536_1536_2560,Gemm_Rocblas_-1086326268,0.535588
GemmTunableOp_Half_TN,tn_512_2048_2560_ld_2560_2560_512,Gemm_Rocblas_-1086326063,0.208128
GemmTunableOp_Half_TN,tn_320_2048_2560_ld_2560_2560_320,Gemm_Rocblas_-1086326082,0.185541
GemmTunableOp_Half_TN,tn_2560_2048_160_ld_160_160_2560,Gemm_Rocblas_-1086326071,0.0648421
GemmTunableOp_Half_NN,nn_1_2048_2560_ld_1_2560_1,Gemm_Rocblas_-9,0.0324504
GemmTunableOp_Half_TN,tn_10240_2048_2560_ld_2560_2560_10240,Default,2.98636
GemmTunableOp_Half_TN,tn_2560_2048_2560_ld_2560_2560_2560,Default,0.850852
GemmTunableOp_Half_TN,tn_3584_2048_2560_ld_2560_2560_3584,Gemm_Rocblas_-1086326063,1.17531
GemmTunableOp_Half_TN,tn_320_2048_10240_ld_10240_10240_320,Gemm_Rocblas_-1086326082,0.706141
GemmTunableOp_Half_TN,tn_336_876_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326128,0.349559
GemmTunableOp_Half_TN,tn_10240_876_320_ld_320_320_10240,Gemm_Rocblas_-1086326054,0.194536
GemmTunableOp_Half_TN,tn_4096_876_2560_ld_2560_2560_4096,Gemm_Rocblas_-1086326277,0.657372
GemmTunableOp_Half_TN,tn_24_876_2560_ld_2560_2560_24,Gemm_Rocblas_-1086326202,0.0428066
GemmTunableOp_Half_TN,tn_2560_876_1536_ld_1536_1536_2560,Gemm_Rocblas_-1086326061,0.2398
GemmTunableOp_Half_TN,tn_512_876_2560_ld_2560_2560_512,Gemm_Rocblas_-1086326082,0.128209
GemmTunableOp_Half_TN,tn_320_876_2560_ld_2560_2560_320,Gemm_Rocblas_-1086326122,0.105539
GemmTunableOp_Half_TN,tn_2560_876_160_ld_160_160_2560,Gemm_Rocblas_-1086326071,0.0435354
GemmTunableOp_Half_NN,nn_1_876_2560_ld_1_2560_1,Gemm_Rocblas_-9,0.0188791
GemmTunableOp_Half_TN,tn_10240_876_2560_ld_2560_2560_10240,Gemm_Rocblas_-1086326045,1.51495
GemmTunableOp_Half_TN,tn_2560_876_2560_ld_2560_2560_2560,Gemm_Rocblas_-1086326061,0.391799
GemmTunableOp_Half_TN,tn_3584_876_2560_ld_2560_2560_3584,Gemm_Rocblas_-1086326045,0.614655
GemmTunableOp_Half_TN,tn_640_876_2560_ld_2560_2560_640,Gemm_Rocblas_-1086326078,0.133891
GemmTunableOp_Half_TN,tn_320_876_10240_ld_10240_10240_320,Gemm_Rocblas_-1086326128,0.350474
