Validator,PT_VERSION,2.12.0
Validator,HIP_VERSION,714
Validator,HIPBLASLT_VERSION,100401-cd957402
Validator,GCN_ARCH_NAME,gfx1030
Validator,ROCBLAS_VERSION,5.5.0.cd957402
GemmTunableOp_Half_TN,tn_336_2048_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326234,0.802784
GemmTunableOp_Half_TN,tn_10240_2048_320_ld_320_320_10240,Default,0.514935
GemmTunableOp_Half_TN,tn_4096_2048_2560_ld_2560_2560_4096,Gemm_Rocblas_-1086326252,1.82556
GemmTunableOp_Half_TN,tn_24_2048_2560_ld_2560_2560_24,Gemm_Rocblas_-1086326328,0.0565649
GemmTunableOp_Half_TN,tn_2560_2048_1536_ld_1536_1536_2560,Default,0.540556
GemmTunableOp_Half_TN,tn_512_2048_2560_ld_2560_2560_512,Gemm_Rocblas_-1086326466,0.222475
GemmTunableOp_Half_TN,tn_320_2048_2560_ld_2560_2560_320,Gemm_Rocblas_-1086326271,0.189103
GemmTunableOp_Half_TN,tn_2560_2048_160_ld_160_160_2560,Default,0.0661291
GemmTunableOp_Half_NN,nn_1_2048_2560_ld_1_2560_1,Gemm_Rocblas_-9,0.033064
GemmTunableOp_Half_TN,tn_10240_2048_2560_ld_2560_2560_10240,Default,3.5828
GemmTunableOp_Half_TN,tn_2560_2048_2560_ld_2560_2560_2560,Default,0.996962
GemmTunableOp_Half_TN,tn_3584_2048_2560_ld_2560_2560_3584,Gemm_Rocblas_-1086326252,1.61653
GemmTunableOp_Half_TN,tn_320_2048_10240_ld_10240_10240_320,Gemm_Rocblas_-1086326233,0.769058
GemmTunableOp_Half_TN,tn_336_72_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326328,0.114756
GemmTunableOp_Half_TN,tn_10240_72_320_ld_320_320_10240,Gemm_Rocblas_-1086326259,0.0516322
GemmTunableOp_Half_TN,tn_4096_72_2560_ld_2560_2560_4096,Gemm_Rocblas_-1086326267,0.137894
GemmTunableOp_Half_TN,tn_24_72_2560_ld_2560_2560_24,Gemm_Rocblas_-1086326401,0.0234407
GemmTunableOp_Half_TN,tn_2560_72_1536_ld_1536_1536_2560,Gemm_Rocblas_-1086326318,0.0690836
GemmTunableOp_Half_TN,tn_512_72_2560_ld_2560_2560_512,Gemm_Rocblas_-1086326318,0.044321
GemmTunableOp_Half_TN,tn_320_72_2560_ld_2560_2560_320,Gemm_Rocblas_-1086326316,0.0426439
GemmTunableOp_Half_TN,tn_2560_72_160_ld_160_160_2560,Gemm_Rocblas_-1086326431,0.0154222
GemmTunableOp_Half_NN,nn_1_72_2560_ld_1_2560_1,Gemm_Rocblas_-9,0.0122226
GemmTunableOp_Half_TN,tn_10240_72_2560_ld_2560_2560_10240,Gemm_Rocblas_-1086326457,0.327817
GemmTunableOp_Half_TN,tn_2560_72_2560_ld_2560_2560_2560,Gemm_Rocblas_-1086326317,0.11145
GemmTunableOp_Half_TN,tn_3584_72_2560_ld_2560_2560_3584,Gemm_Rocblas_-1086326235,0.13777
GemmTunableOp_Half_TN,tn_640_72_2560_ld_2560_2560_640,Gemm_Rocblas_-1086326329,0.0508102
GemmTunableOp_Half_TN,tn_320_72_10240_ld_10240_10240_320,Gemm_Rocblas_-1086326318,0.117133
GemmTunableOp_Half_TN,tn_336_144_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326323,0.114798
GemmTunableOp_Half_TN,tn_10240_144_320_ld_320_320_10240,Gemm_Rocblas_-1086326226,0.0669649
GemmTunableOp_Half_TN,tn_4096_144_2560_ld_2560_2560_4096,Gemm_Rocblas_-1086326249,0.203159
GemmTunableOp_Half_TN,tn_24_144_2560_ld_2560_2560_24,Gemm_Rocblas_-1086326401,0.0237035
GemmTunableOp_Half_TN,tn_2560_144_1536_ld_1536_1536_2560,Gemm_Rocblas_-1086326249,0.0902119
GemmTunableOp_Half_TN,tn_512_144_2560_ld_2560_2560_512,Gemm_Rocblas_-1086326317,0.0514527
GemmTunableOp_Half_TN,tn_320_144_2560_ld_2560_2560_320,Gemm_Rocblas_-1086326318,0.0440242
GemmTunableOp_Half_TN,tn_2560_144_160_ld_160_160_2560,Gemm_Rocblas_-1086326256,0.0183318
GemmTunableOp_Half_NN,nn_1_144_2560_ld_1_2560_1,Gemm_Rocblas_-9,0.0122441
GemmTunableOp_Half_TN,tn_10240_144_2560_ld_2560_2560_10240,Gemm_Rocblas_-1086326466,0.547985
GemmTunableOp_Half_TN,tn_2560_144_2560_ld_2560_2560_2560,Gemm_Rocblas_-1086326462,0.140871
GemmTunableOp_Half_TN,tn_3584_144_2560_ld_2560_2560_3584,Gemm_Rocblas_-1086326233,0.19861
GemmTunableOp_Half_TN,tn_640_144_2560_ld_2560_2560_640,Gemm_Rocblas_-1086326323,0.0563027
GemmTunableOp_Half_TN,tn_320_144_10240_ld_10240_10240_320,Gemm_Rocblas_-1086326329,0.118347
GemmTunableOp_Half_TN,tn_336_220_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326323,0.146343
GemmTunableOp_Half_TN,tn_10240_220_320_ld_320_320_10240,Gemm_Rocblas_-1086326226,0.0828314
GemmTunableOp_Half_TN,tn_4096_220_2560_ld_2560_2560_4096,Gemm_Rocblas_-1086326466,0.242772
GemmTunableOp_Half_TN,tn_24_220_2560_ld_2560_2560_24,Gemm_Rocblas_-1086326399,0.0240107
GemmTunableOp_Half_TN,tn_2560_220_1536_ld_1536_1536_2560,Gemm_Rocblas_-1086326249,0.126893
GemmTunableOp_Half_TN,tn_512_220_2560_ld_2560_2560_512,Gemm_Rocblas_-1086326323,0.0551667
GemmTunableOp_Half_TN,tn_320_220_2560_ld_2560_2560_320,Gemm_Rocblas_-1086326328,0.0525875
GemmTunableOp_Half_TN,tn_2560_220_160_ld_160_160_2560,Gemm_Rocblas_-1086326431,0.0274839
GemmTunableOp_Half_NN,nn_1_220_2560_ld_1_2560_1,Gemm_Rocblas_-9,0.0119002
GemmTunableOp_Half_TN,tn_10240_220_2560_ld_2560_2560_10240,Gemm_Rocblas_-1086326234,0.546909
GemmTunableOp_Half_TN,tn_2560_220_2560_ld_2560_2560_2560,Gemm_Rocblas_-1086326317,0.202132
GemmTunableOp_Half_TN,tn_3584_220_2560_ld_2560_2560_3584,Gemm_Rocblas_-1086326466,0.251235
GemmTunableOp_Half_TN,tn_640_220_2560_ld_2560_2560_640,Gemm_Rocblas_-1086326323,0.0702201
GemmTunableOp_Half_TN,tn_320_220_10240_ld_10240_10240_320,Gemm_Rocblas_-1086326323,0.146908
GemmTunableOp_Half_TN,tn_336_292_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326322,0.15019
GemmTunableOp_Half_TN,tn_10240_292_320_ld_320_320_10240,Gemm_Rocblas_-1086326224,0.110093
GemmTunableOp_Half_TN,tn_4096_292_2560_ld_2560_2560_4096,Gemm_Rocblas_-1086326466,0.343626
GemmTunableOp_Half_TN,tn_24_292_2560_ld_2560_2560_24,Gemm_Rocblas_-1086326399,0.0247823
GemmTunableOp_Half_TN,tn_2560_292_1536_ld_1536_1536_2560,Gemm_Rocblas_-1086326233,0.135426
GemmTunableOp_Half_TN,tn_512_292_2560_ld_2560_2560_512,Gemm_Rocblas_-1086326329,0.0673586
GemmTunableOp_Half_TN,tn_320_292_2560_ld_2560_2560_320,Gemm_Rocblas_-1086326325,0.0551835
GemmTunableOp_Half_TN,tn_2560_292_160_ld_160_160_2560,Gemm_Rocblas_-1086326311,0.0279607
GemmTunableOp_Half_NN,nn_1_292_2560_ld_1_2560_1,Gemm_Rocblas_-9,0.0137854
GemmTunableOp_Half_TN,tn_10240_292_2560_ld_2560_2560_10240,Gemm_Rocblas_-1086326466,0.8425
GemmTunableOp_Half_TN,tn_2560_292_2560_ld_2560_2560_2560,Gemm_Rocblas_-1086326313,0.232349
GemmTunableOp_Half_TN,tn_3584_292_2560_ld_2560_2560_3584,Default,0.305847
GemmTunableOp_Half_TN,tn_640_292_2560_ld_2560_2560_640,Gemm_Rocblas_-1086326317,0.0822779
GemmTunableOp_Half_TN,tn_320_292_10240_ld_10240_10240_320,Gemm_Rocblas_-1086326317,0.148704
GemmTunableOp_Half_TN,tn_336_368_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326318,0.175274
