Validator,PT_VERSION,2.12.0
Validator,HIP_VERSION,714
Validator,HIPBLASLT_VERSION,100401-cd957402
Validator,GCN_ARCH_NAME,gfx1030
Validator,ROCBLAS_VERSION,5.5.0.cd957402
GemmTunableOp_Half_TN,tn_336_2048_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326233,0.765596
GemmTunableOp_Half_TN,tn_10240_2048_320_ld_320_320_10240,Default,0.509312
GemmTunableOp_Half_TN,tn_4096_2048_2560_ld_2560_2560_4096,Gemm_Rocblas_-1086326252,1.84088
GemmTunableOp_Half_TN,tn_24_2048_2560_ld_2560_2560_24,Gemm_Rocblas_-1086326328,0.0575686
GemmTunableOp_Half_TN,tn_2560_2048_1536_ld_1536_1536_2560,Default,0.544587
GemmTunableOp_Half_TN,tn_512_2048_2560_ld_2560_2560_512,Gemm_Rocblas_-1086326236,0.216989
GemmTunableOp_Half_TN,tn_320_2048_2560_ld_2560_2560_320,Gemm_Rocblas_-1086326271,0.192601
GemmTunableOp_Half_TN,tn_2560_2048_160_ld_160_160_2560,Gemm_Rocblas_-1086326234,0.0676495
GemmTunableOp_Half_NN,nn_1_2048_2560_ld_1_2560_1,Gemm_Rocblas_-9,0.0328064
GemmTunableOp_Half_TN,tn_10240_2048_2560_ld_2560_2560_10240,Default,3.44583
GemmTunableOp_Half_TN,tn_2560_2048_2560_ld_2560_2560_2560,Default,0.998848
GemmTunableOp_Half_TN,tn_3584_2048_2560_ld_2560_2560_3584,Default,1.61531
GemmTunableOp_Half_TN,tn_320_2048_10240_ld_10240_10240_320,Gemm_Rocblas_-1086326271,0.76629
GemmTunableOp_Half_TN,tn_336_72_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326328,0.115857
GemmTunableOp_Half_TN,tn_10240_72_320_ld_320_320_10240,Gemm_Rocblas_-1086326294,0.0522302
GemmTunableOp_Half_TN,tn_4096_72_2560_ld_2560_2560_4096,Gemm_Rocblas_-1086326267,0.139595
GemmTunableOp_Half_TN,tn_24_72_2560_ld_2560_2560_24,Gemm_Rocblas_-1086326395,0.0240231
GemmTunableOp_Half_TN,tn_2560_72_1536_ld_1536_1536_2560,Gemm_Rocblas_-1086326318,0.0697272
GemmTunableOp_Half_TN,tn_512_72_2560_ld_2560_2560_512,Gemm_Rocblas_-1086326318,0.0449757
GemmTunableOp_Half_TN,tn_320_72_2560_ld_2560_2560_320,Gemm_Rocblas_-1086326318,0.0432913
GemmTunableOp_Half_TN,tn_2560_72_160_ld_160_160_2560,Gemm_Rocblas_-1086326432,0.0154438
GemmTunableOp_Half_NN,nn_1_72_2560_ld_1_2560_1,Gemm_Rocblas_-9,0.0126742
GemmTunableOp_Half_TN,tn_10240_72_2560_ld_2560_2560_10240,Gemm_Rocblas_-1086326457,0.33043
GemmTunableOp_Half_TN,tn_2560_72_2560_ld_2560_2560_2560,Gemm_Rocblas_-1086326317,0.11201
GemmTunableOp_Half_TN,tn_3584_72_2560_ld_2560_2560_3584,Gemm_Rocblas_-1086326235,0.139496
GemmTunableOp_Half_TN,tn_640_72_2560_ld_2560_2560_640,Gemm_Rocblas_-1086326329,0.051059
GemmTunableOp_Half_TN,tn_320_72_10240_ld_10240_10240_320,Gemm_Rocblas_-1086326323,0.118553
GemmTunableOp_Half_TN,tn_336_144_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326329,0.11612
GemmTunableOp_Half_TN,tn_10240_144_320_ld_320_320_10240,Gemm_Rocblas_-1086326226,0.0677616
GemmTunableOp_Half_TN,tn_4096_144_2560_ld_2560_2560_4096,Gemm_Rocblas_-1086326462,0.215622
GemmTunableOp_Half_TN,tn_24_144_2560_ld_2560_2560_24,Gemm_Rocblas_-1086326395,0.0242703
GemmTunableOp_Half_TN,tn_2560_144_1536_ld_1536_1536_2560,Gemm_Rocblas_-1086326462,0.0913999
GemmTunableOp_Half_TN,tn_512_144_2560_ld_2560_2560_512,Gemm_Rocblas_-1086326317,0.052095
GemmTunableOp_Half_TN,tn_320_144_2560_ld_2560_2560_320,Gemm_Rocblas_-1086326318,0.0446721
GemmTunableOp_Half_TN,tn_2560_144_160_ld_160_160_2560,Gemm_Rocblas_-1086326263,0.0185542
GemmTunableOp_Half_NN,nn_1_144_2560_ld_1_2560_1,Gemm_Rocblas_-9,0.0124689
GemmTunableOp_Half_TN,tn_10240_144_2560_ld_2560_2560_10240,Gemm_Rocblas_-1086326457,0.552383
GemmTunableOp_Half_TN,tn_2560_144_2560_ld_2560_2560_2560,Gemm_Rocblas_-1086326462,0.142182
GemmTunableOp_Half_TN,tn_3584_144_2560_ld_2560_2560_3584,Gemm_Rocblas_-1086326462,0.208596
