Validator,PT_VERSION,2.12.0
Validator,HIP_VERSION,714
Validator,HIPBLASLT_VERSION,100401-cd957402
Validator,GCN_ARCH_NAME,gfx1030
Validator,ROCBLAS_VERSION,5.5.0.cd957402
GemmTunableOp_Half_TN,tn_320_220_10240_ld_10240_10240_320,Gemm_Rocblas_-1086326318,0.147349
GemmTunableOp_Half_TN,tn_336_292_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326318,0.148799
GemmTunableOp_Half_TN,tn_10240_292_320_ld_320_320_10240,Gemm_Rocblas_-1086326224,0.11336
GemmTunableOp_Half_TN,tn_4096_292_2560_ld_2560_2560_4096,Gemm_Rocblas_-1086326466,0.34367
GemmTunableOp_Half_TN,tn_24_292_2560_ld_2560_2560_24,Gemm_Rocblas_-1086326389,0.0241827
GemmTunableOp_Half_TN,tn_2560_292_1536_ld_1536_1536_2560,Gemm_Rocblas_-1086326233,0.133538
GemmTunableOp_Half_TN,tn_512_292_2560_ld_2560_2560_512,Gemm_Rocblas_-1086326329,0.0672472
GemmTunableOp_Half_TN,tn_320_292_2560_ld_2560_2560_320,Gemm_Rocblas_-1086326325,0.0547207
GemmTunableOp_Half_TN,tn_2560_292_160_ld_160_160_2560,Gemm_Rocblas_-1086326454,0.0273335
GemmTunableOp_Half_NN,nn_1_292_2560_ld_1_2560_1,Gemm_Rocblas_-9,0.0140198
GemmTunableOp_Half_TN,tn_10240_292_2560_ld_2560_2560_10240,Gemm_Rocblas_-1086326466,0.847556
GemmTunableOp_Half_TN,tn_2560_292_2560_ld_2560_2560_2560,Gemm_Rocblas_-1086326298,0.218651
GemmTunableOp_Half_TN,tn_3584_292_2560_ld_2560_2560_3584,Default,0.307598
GemmTunableOp_Half_TN,tn_640_292_2560_ld_2560_2560_640,Gemm_Rocblas_-1086326329,0.0842534
GemmTunableOp_Half_TN,tn_320_292_10240_ld_10240_10240_320,Gemm_Rocblas_-1086326317,0.150392
GemmTunableOp_Half_TN,tn_336_368_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326318,0.177003
GemmTunableOp_Half_TN,tn_10240_368_320_ld_320_320_10240,Gemm_Rocblas_-1086326484,0.122896
GemmTunableOp_Half_TN,tn_4096_368_2560_ld_2560_2560_4096,Gemm_Rocblas_-1086326466,0.365942
GemmTunableOp_Half_TN,tn_24_368_2560_ld_2560_2560_24,Gemm_Rocblas_-1086326399,0.032158
GemmTunableOp_Half_TN,tn_2560_368_1536_ld_1536_1536_2560,Gemm_Rocblas_-1086326234,0.158588
GemmTunableOp_Half_TN,tn_512_368_2560_ld_2560_2560_512,Gemm_Rocblas_-1086326316,0.073343
GemmTunableOp_Half_TN,tn_320_368_2560_ld_2560_2560_320,Gemm_Rocblas_-1086326318,0.0572383
GemmTunableOp_Half_TN,tn_2560_368_160_ld_160_160_2560,Gemm_Rocblas_-1086326444,0.0280419
GemmTunableOp_Half_NN,nn_1_368_2560_ld_1_2560_1,Gemm_Rocblas_-9,0.0143954
GemmTunableOp_Half_TN,tn_10240_368_2560_ld_2560_2560_10240,Gemm_Rocblas_-1086326457,0.873342
GemmTunableOp_Half_TN,tn_2560_368_2560_ld_2560_2560_2560,Gemm_Rocblas_-1086326466,0.252007
GemmTunableOp_Half_TN,tn_3584_368_2560_ld_2560_2560_3584,Default,0.358465
GemmTunableOp_Half_TN,tn_640_368_2560_ld_2560_2560_640,Gemm_Rocblas_-1086326273,0.0918007
GemmTunableOp_Half_TN,tn_320_368_10240_ld_10240_10240_320,Gemm_Rocblas_-1086326323,0.163255
GemmTunableOp_Half_TN,tn_336_436_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326323,0.227445
GemmTunableOp_Half_TN,tn_10240_436_320_ld_320_320_10240,Gemm_Rocblas_-1086326243,0.132177
GemmTunableOp_Half_TN,tn_4096_436_2560_ld_2560_2560_4096,Gemm_Rocblas_-1086326245,0.409844
GemmTunableOp_Half_TN,tn_24_436_2560_ld_2560_2560_24,Gemm_Rocblas_-1086326399,0.032472
GemmTunableOp_Half_TN,tn_2560_436_1536_ld_1536_1536_2560,Gemm_Rocblas_-1086326233,0.191003
GemmTunableOp_Half_TN,tn_512_436_2560_ld_2560_2560_512,Gemm_Rocblas_-1086326322,0.0868875
GemmTunableOp_Half_TN,tn_320_436_2560_ld_2560_2560_320,Gemm_Rocblas_-1086326318,0.0689568
GemmTunableOp_Half_TN,tn_2560_436_160_ld_160_160_2560,Gemm_Rocblas_-1086326283,0.0302515
GemmTunableOp_Half_NN,nn_1_436_2560_ld_1_2560_1,Gemm_Rocblas_-9,0.0142194
GemmTunableOp_Half_TN,tn_10240_436_2560_ld_2560_2560_10240,Gemm_Rocblas_-1086326252,1.05884
GemmTunableOp_Half_TN,tn_2560_436_2560_ld_2560_2560_2560,Gemm_Rocblas_-1086326462,0.319856
GemmTunableOp_Half_TN,tn_3584_436_2560_ld_2560_2560_3584,Default,0.397031
GemmTunableOp_Half_TN,tn_640_436_2560_ld_2560_2560_640,Gemm_Rocblas_-1086326312,0.101971
GemmTunableOp_Half_TN,tn_320_436_10240_ld_10240_10240_320,Gemm_Rocblas_-1086326328,0.224647
GemmTunableOp_Half_TN,tn_336_512_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326271,0.235579
GemmTunableOp_Half_TN,tn_10240_512_320_ld_320_320_10240,Default,0.130142
GemmTunableOp_Half_TN,tn_4096_512_2560_ld_2560_2560_4096,Default,0.46099
GemmTunableOp_Half_TN,tn_24_512_2560_ld_2560_2560_24,Gemm_Rocblas_-1086326393,0.0337608
GemmTunableOp_Half_TN,tn_2560_512_1536_ld_1536_1536_2560,Gemm_Rocblas_-1086326234,0.207997
GemmTunableOp_Half_TN,tn_512_512_2560_ld_2560_2560_512,Gemm_Rocblas_-1086326271,0.0774354
GemmTunableOp_Half_TN,tn_320_512_2560_ld_2560_2560_320,Gemm_Rocblas_-1086326318,0.0743585
GemmTunableOp_Half_TN,tn_2560_512_160_ld_160_160_2560,Gemm_Rocblas_-1086326256,0.029712
GemmTunableOp_Half_NN,nn_1_512_2560_ld_1_2560_1,Gemm_Rocblas_-9,0.0145482
GemmTunableOp_Half_TN,tn_10240_512_2560_ld_2560_2560_10240,Gemm_Rocblas_-1086326268,1.1384
GemmTunableOp_Half_TN,tn_2560_512_2560_ld_2560_2560_2560,Default,0.351682
GemmTunableOp_Half_TN,tn_3584_512_2560_ld_2560_2560_3584,Default,0.371031
GemmTunableOp_Half_TN,tn_640_512_2560_ld_2560_2560_640,Gemm_Rocblas_-1086326317,0.116248
GemmTunableOp_Half_TN,tn_320_512_10240_ld_10240_10240_320,Gemm_Rocblas_-1086326271,0.227639
GemmTunableOp_Half_TN,tn_336_588_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326271,0.253182
GemmTunableOp_Half_TN,tn_10240_588_320_ld_320_320_10240,Gemm_Rocblas_-1086326484,0.196244
GemmTunableOp_Half_TN,tn_4096_588_2560_ld_2560_2560_4096,Gemm_Rocblas_-1086326466,0.617004
GemmTunableOp_Half_TN,tn_24_588_2560_ld_2560_2560_24,Gemm_Rocblas_-1086326393,0.0371165
GemmTunableOp_Half_TN,tn_2560_588_1536_ld_1536_1536_2560,Default,0.225325
GemmTunableOp_Half_TN,tn_512_588_2560_ld_2560_2560_512,Gemm_Rocblas_-1086326316,0.110802
GemmTunableOp_Half_TN,tn_320_588_2560_ld_2560_2560_320,Gemm_Rocblas_-1086326271,0.0819058
GemmTunableOp_Half_TN,tn_2560_588_160_ld_160_160_2560,Gemm_Rocblas_-1086326256,0.0364364
GemmTunableOp_Half_NN,nn_1_588_2560_ld_1_2560_1,Gemm_Rocblas_-9,0.0164734
GemmTunableOp_Half_TN,tn_10240_588_2560_ld_2560_2560_10240,Gemm_Rocblas_-1086326457,1.37541
GemmTunableOp_Half_TN,tn_2560_588_2560_ld_2560_2560_2560,Default,0.365804
GemmTunableOp_Half_TN,tn_3584_588_2560_ld_2560_2560_3584,Gemm_Rocblas_-1086326466,0.528183
GemmTunableOp_Half_TN,tn_640_588_2560_ld_2560_2560_640,Gemm_Rocblas_-1086326271,0.133279
GemmTunableOp_Half_TN,tn_320_588_10240_ld_10240_10240_320,Gemm_Rocblas_-1086326271,0.252982
GemmTunableOp_Half_TN,tn_336_660_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326271,0.265494
GemmTunableOp_Half_TN,tn_10240_660_320_ld_320_320_10240,Default,0.208638
GemmTunableOp_Half_TN,tn_4096_660_2560_ld_2560_2560_4096,Default,0.698821
GemmTunableOp_Half_TN,tn_24_660_2560_ld_2560_2560_24,Gemm_Rocblas_-1086326391,0.0378101
GemmTunableOp_Half_TN,tn_2560_660_1536_ld_1536_1536_2560,Default,0.23458
GemmTunableOp_Half_TN,tn_512_660_2560_ld_2560_2560_512,Gemm_Rocblas_-1086326316,0.119436
GemmTunableOp_Half_TN,tn_320_660_2560_ld_2560_2560_320,Gemm_Rocblas_-1086326271,0.0857691
GemmTunableOp_Half_TN,tn_2560_660_160_ld_160_160_2560,Gemm_Rocblas_-1086326257,0.0401405
GemmTunableOp_Half_NN,nn_1_660_2560_ld_1_2560_1,Gemm_Rocblas_-9,0.0166474
